Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
84,João Cancelo,pt POR,DF,Barcelona,29,1994,27.8,2,31,10,32.3,1.11,0.36,0.06,0.2,0,0,la_liga,2023-2024
85,Sergi Canós,es ESP,MF,Valencia,26,1997,13.7,1,43,17,39.5,3.15,1.24,0.02,0.06,0,0,la_liga,2023-2024
86,Étienne Capoue,fr FRA,MF,Villarreal,35,1988,16.2,1,14,5,35.7,0.87,0.31,0.07,0.2,0,0,la_liga,2023-2024
87,Isaac Carcelen,es ESP,DF,Cádiz,30,1993,29.0,0,10,3,30.0,0.34,0.1,0.0,0.0,0,0,la_liga,2023-2024
88,Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
89,Marc Cardona,es ESP,FW,Las Palmas,28,1995,8.2,4,22,11,50.0,2.69,1.34,0.14,0.27,1,1,la_liga,2023-2024
90,Sergi Cardona,es ESP,DF,Las Palmas,24,1999,31.3,1,26,5,19.2,0.83,0.16,0.04,0.2,0,0,la_liga,2023-2024
91,Johnny Cardoso,us USA,MF,Real Betis,21,2001,14.8,1,12,3,25.0,0.81,0.2,0.08,0.33,0,0,la_liga,2023-2024
92,Carmona,es ESP,"MF,DF",Getafe,21,2002,14.6,1,12,3,25.0,0.82,0.21,0.08,0.33,0,0,la_liga,2023-2024
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,29,1993,2.5,0,2,1,50.0,0.81,0.41,0.0,0.0,0,0,la_liga,2023-2024
94,Álvaro Carreras,es ESP,"MF,FW",Granada,20,2003,5.3,0,7,1,14.3,1.33,0.19,0.0,0.0,0,0,la_liga,2023-2024
95,Dani Carvajal,es ESP,DF,Real Madrid,31,1992,24.1,4,18,10,55.6,0.75,0.41,0.22,0.4,0,0,la_liga,2023-2024
96,William Carvalho,pt POR,MF,Real Betis,31,1992,7.6,1,8,3,37.5,1.06,0.4,0.13,0.33,0,0,la_liga,2023-2024
97,Marc Casado,es ESP,MF,Barcelona,19,2003,0.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
98,Catena,es ESP,DF,Osasuna,28,1994,28.2,1,18,5,27.8,0.64,0.18,0.06,0.2,0,0,la_liga,2023-2024
99,Dani Ceballos,es ESP,MF,Real Madrid,26,1996,6.6,0,7,1,14.3,1.05,0.15,0.0,0.0,0,0,la_liga,2023-2024
100,Álex Centelles,es ESP,DF,Almería,25,1997,10.9,0,2,1,50.0,0.18,0.09,0.0,0.0,0,0,la_liga,2023-2024
101,Franco Cervi,ar ARG,"MF,DF",Celta Vigo,29,1994,6.1,0,9,1,11.1,1.48,0.16,0.0,0.0,0,0,la_liga,2023-2024
102,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,25,1998,13.0,1,11,2,18.2,0.85,0.15,0.09,0.5,0,0,la_liga,2023-2024
103,Andreas Christensen,dk DEN,"DF,MF",Barcelona,27,1996,22.0,2,12,4,33.3,0.55,0.18,0.17,0.5,0,0,la_liga,2023-2024
104,Chumi,es ESP,DF,Almería,24,1999,27.0,0,5,1,20.0,0.18,0.04,0.0,0.0,0,0,la_liga,2023-2024
105,Víctor Chust,es ESP,DF,Cádiz,23,2000,20.7,0,4,0,0.0,0.19,0.0,0.0,,0,0,la_liga,2023-2024
106,Pathé Ciss,sn SEN,MF,Rayo Vallecano,29,1994,18.5,1,22,8,36.4,1.19,0.43,0.05,0.13,0,0,la_liga,2023-2024
107,Silvi Clúa,es ESP,MF,Girona,18,2005,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
108,Saúl Coco,gq EQG,DF,Las Palmas,24,1999,25.5,1,20,4,20.0,0.78,0.16,0.05,0.25,0,0,la_liga,2023-2024
109,Santi Comesaña,es ESP,MF,Villarreal,26,1996,18.4,2,17,7,41.2,0.93,0.38,0.12,0.29,0,0,la_liga,2023-2024
110,Copete,es ESP,DF,Mallorca,23,1999,14.8,1,7,1,14.3,0.47,0.07,0.14,1.0,0,0,la_liga,2023-2024
111,Francis Coquelin,fr FRA,MF,Villarreal,32,1991,10.1,0,3,0,0.0,0.3,0.0,0.0,,0,0,la_liga,2023-2024
112,Theo Corbeanu,ca CAN,MF,Granada,21,2002,2.0,1,5,2,40.0,2.47,0.99,0.2,0.5,0,0,la_liga,2023-2024
113,Jesús Corona,mx MEX,"DF,FW",Sevilla,30,1993,0.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
114,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,28,1995,17.0,9,43,20,46.5,2.53,1.18,0.21,0.45,0,0,la_liga,2023-2024
115,Thierry Correia,pt POR,DF,Valencia,24,1999,23.9,0,5,2,40.0,0.21,0.08,0.0,0.0,0,0,la_liga,2023-2024
116,Jaume Costa,es ESP,"DF,MF",Mallorca,35,1988,18.7,0,6,2,33.3,0.32,0.11,0.0,0.0,0,0,la_liga,2023-2024
117,Samu Costa,pt POR,MF,Mallorca,22,2000,25.6,1,22,3,13.6,0.86,0.12,0.05,0.33,0,0,la_liga,2023-2024
118,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,3.7,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
119,Yan Couto,br BRA,"MF,DF",Girona,21,2002,24.9,1,29,11,37.9,1.16,0.44,0.03,0.09,0,0,la_liga,2023-2024
120,Crespo,pt POR,MF,Rayo Vallecano,26,1996,5.9,0,3,0,0.0,0.51,0.0,0.0,,0,0,la_liga,2023-2024
121,Cristian,es ESP,GK,Valencia,25,1998,0.6,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
122,Juan Cruz Armada,es ESP,DF,Osasuna,31,1992,18.5,0,3,0,0.0,0.16,0.0,0.0,,0,0,la_liga,2023-2024
123,Juan Cruz,es ESP,MF,Real Betis,23,2000,0.8,0,2,0,0.0,2.37,0.0,0.0,,0,0,la_liga,2023-2024
124,Pau Cubarsí,es ESP,DF,Barcelona,16,2007,17.3,0,3,0,0.0,0.17,0.0,0.0,,0,0,la_liga,2023-2024
125,Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
126,Jorge Cuenca,es ESP,DF,Villarreal,23,1999,21.8,3,20,7,35.0,0.92,0.32,0.15,0.43,0,0,la_liga,2023-2024
127,Eric Curbelo,es ESP,DF,Las Palmas,29,1994,1.1,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
128,Alberto Dadie,es ESP,FW,Real Sociedad,21,2002,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
129,Sergi Darder,es ESP,MF,Mallorca,29,1993,24.0,2,32,12,37.5,1.34,0.5,0.06,0.17,0,0,la_liga,2023-2024
130,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,29,1994,23.1,3,30,12,40.0,1.3,0.52,0.1,0.25,0,0,la_liga,2023-2024
131,Mouctar Diakhaby,gn GUI,"DF,MF",Valencia,26,1996,11.9,1,7,3,42.9,0.59,0.25,0.14,0.33,0,0,la_liga,2023-2024
132,Moussa Diakité,ml MLI,MF,Cádiz,19,2003,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
133,Assane Diao,sn SEN,MF,Real Betis,17,2005,11.6,2,21,3,14.3,1.8,0.26,0.1,0.67,0,0,la_liga,2023-2024
134,Brahim Díaz,ma MAR,"MF,FW",Real Madrid,23,1999,17.2,8,38,17,44.7,2.21,0.99,0.21,0.47,0,0,la_liga,2023-2024
135,Víctor Díaz,es ESP,DF,Granada,35,1988,1.8,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
136,Famara Diedhiou,sn SEN,FW,Granada,30,1992,1.0,0,5,3,60.0,5.06,3.03,0.0,0.0,0,0,la_liga,2023-2024
137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
138,Djené,tg TOG,"DF,MF",Getafe,31,1991,27.6,0,6,1,16.7,0.22,0.04,0.0,0.0,0,0,la_liga,2023-2024
139,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,13.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
140,Jaume Doménech,es ESP,GK,Valencia,32,1990,0.9,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
141,Carlos Dominguez,es ESP,DF,Celta Vigo,22,2001,17.6,0,5,0,0.0,0.28,0.0,0.0,,0,0,la_liga,2023-2024
142,Mario Dominguez,es ESP,MF,Valencia,19,2004,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,0,0,la_liga,2023-2024
143,Carlos Dotor,es ESP,MF,Celta Vigo,22,2001,7.9,0,4,0,0.0,0.51,0.0,0.0,,0,0,la_liga,2023-2024
144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23,1999,10.1,7,26,15,57.7,2.59,1.49,0.27,0.47,0,0,la_liga,2023-2024
145,Artem Dovbyk,ua UKR,FW,Girona,26,1997,28.7,24,85,46,54.1,2.96,1.6,0.2,0.37,7,8,la_liga,2023-2024
146,Domingos Duarte,pt POR,DF,Getafe,28,1995,10.1,0,1,0,0.0,0.1,0.0,0.0,,0,0,la_liga,2023-2024
147,Rubén Duarte,es ESP,DF,Alavés,27,1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.4,0,0,la_liga,2023-2024
148,Hugo Duro,es ESP,FW,Valencia,23,1999,33.1,13,66,29,43.9,2.0,0.88,0.2,0.45,0,0,la_liga,2023-2024
149,Aritz Elustondo,es ESP,DF,Real Sociedad,29,1994,9.0,0,6,2,33.3,0.67,0.22,0.0,0.0,0,0,la_liga,2023-2024
150,Adri Embarba,es ESP,"MF,FW",Almería,31,1992,27.5,3,64,25,39.1,2.33,0.91,0.03,0.08,1,1,la_liga,2023-2024
151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26,1997,28.6,16,73,30,41.1,2.56,1.05,0.21,0.5,1,1,la_liga,2023-2024
152,Gonzalo Escalante,ar ARG,MF,Cádiz,30,1993,18.9,1,14,3,21.4,0.74,0.16,0.07,0.33,0,0,la_liga,2023-2024
153,Aarón Escandell,es ESP,GK,Las Palmas,27,1995,1.7,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31,1992,27.9,0,18,5,27.8,0.65,0.18,0.0,0.0,0,0,la_liga,2023-2024
155,Bernardo Espinosa,co COL,DF,Girona,34,1989,0.0,0,0,0,,0.0,0.0,,,0,0,la_liga,2023-2024
