Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
57,Yvandro Borges Sanches,lu LUX,MF,Gladbach,19,2004,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
58,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24,1999,15.9,0,10,4,40.0,0.63,0.25,0.0,0.0,0,0,bundesliga,2023-2024
59,Rafael Borré,co COL,FW,Werder Bremen,27,1995,11.0,4,20,8,40.0,1.82,0.73,0.2,0.5,0,0,bundesliga,2023-2024
60,Julian Brandt,de GER,MF,Dortmund,27,1996,24.7,7,33,16,48.5,1.34,0.65,0.21,0.44,0,0,bundesliga,2023-2024
61,Fabian Bredlow,de GER,GK,Stuttgart,28,1995,4.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
62,Tim Breithaupt,de GER,MF,Augsburg,21,2002,7.0,0,3,0,0.0,0.43,0.0,0.0,,0,0,bundesliga,2023-2024
63,Maximilian Breunig,de GER,FW,Freiburg,22,2000,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
64,Bennit Bröger,de GER,MF,Wolfsburg,17,2006,0.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
65,John Brooks,us USA,DF,Hoffenheim,30,1993,17.1,2,11,4,36.4,0.64,0.23,0.18,0.5,0,0,bundesliga,2023-2024
66,Moritz Broschinski,de GER,"FW,MF",Bochum,22,2000,13.9,2,26,8,30.8,1.88,0.58,0.08,0.25,0,0,bundesliga,2023-2024
67,Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
68,Marius Bülter,de GER,MF,Hoffenheim,30,1993,15.0,1,21,6,28.6,1.4,0.4,0.05,0.17,0,0,bundesliga,2023-2024
69,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,23,2000,17.1,8,41,17,41.5,2.4,0.99,0.17,0.41,1,1,bundesliga,2023-2024
70,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,26,1997,0.4,0,0,0,,0.0,0.0,,,0,0,bundesliga,2023-2024
71,Marnon Busch,de GER,DF,Heidenheim,28,1994,6.6,0,5,1,20.0,0.76,0.15,0.0,0.0,0,0,bundesliga,2023-2024
72,Aurélio Buta,pt POR,"MF,DF",Eintracht Frankfurt,26,1997,19.4,1,13,4,30.8,0.67,0.21,0.08,0.25,0,0,bundesliga,2023-2024
73,Anthony Caci,fr FRA,"MF,DF",Mainz 05,26,1997,27.6,2,31,6,19.4,1.12,0.22,0.06,0.33,0,0,bundesliga,2023-2024
74,Emre Can,de GER,MF,Dortmund,29,1994,21.7,2,17,3,17.6,0.78,0.14,0.0,0.0,2,2,bundesliga,2023-2024
75,Irvin Cardona,mt MLT,"FW,MF",Augsburg,25,1997,0.6,0,3,0,0.0,5.0,0.0,0.0,,0,0,bundesliga,2023-2024
