Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
53,Barcia,es ESP,DF,Granada,20,2000,0.8,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,3,43,10,23.3,2.28,0.53,0.02,0.1,2,2,la_liga,2021-2022
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,1,4,1,25.0,0.24,0.06,0.25,1.0,0,0,la_liga,2021-2022
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,2,17,6,35.3,1.77,0.62,0.12,0.33,0,0,la_liga,2021-2022
57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,0,1,0,0.0,0.09,0.0,0.0,,0,0,la_liga,2021-2022
58,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,19,2001,6.1,1,8,3,37.5,1.32,0.49,0.13,0.33,0,0,la_liga,2021-2022
59,Marc Bartra,es ESP,DF,Real Betis,30,1991,22.1,1,15,3,20.0,0.68,0.14,0.07,0.33,0,0,la_liga,2021-2022
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,0,5,1,20.0,0.38,0.08,0.0,0.0,0,0,la_liga,2021-2022
62,Jon Bautista,es ESP,FW,Real Sociedad,26,1995,0.5,0,1,0,0.0,2.0,0.0,0.0,,0,0,la_liga,2021-2022
63,Bebé,cv CPV,MF,Rayo Vallecano,31,1990,9.6,1,50,8,16.0,5.19,0.83,0.02,0.13,0,0,la_liga,2021-2022
64,Héctor Bellerín,es ESP,DF,Real Betis,26,1995,22.0,0,10,2,20.0,0.45,0.09,0.0,0.0,0,0,la_liga,2021-2022
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1,20,4,20.0,0.69,0.14,0.05,0.25,0,0,la_liga,2021-2022
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,6.6,2,18,7,38.9,2.75,1.07,0.11,0.29,0,0,la_liga,2021-2022
67,Iker Benito,es ESP,MF,Osasuna,18,2002,1.3,0,3,1,33.3,2.29,0.76,0.0,0.0,0,0,la_liga,2021-2022
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,27,128,59,46.1,4.44,2.05,0.16,0.34,7,11,la_liga,2021-2022
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,1,8,3,37.5,0.71,0.27,0.13,0.33,0,0,la_liga,2021-2022
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,3,46,16,34.8,1.91,0.66,0.07,0.19,0,1,la_liga,2021-2022
72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,1,12,3,25.0,0.7,0.17,0.08,0.33,0,0,la_liga,2021-2022
73,Antonio Blanco,es ESP,MF,Real Madrid,21,2000,0.3,0,0,0,,0.0,0.0,,,0,0,la_liga,2021-2022
