Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
69,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,4,1,0,28,27,0,26,33,26,,,0,la_liga,2024-2025
70,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,4,0,0,47,51,20,5,0,9,,,0,la_liga,2024-2025
71,Marc Bartra,es ESP,DF,Real Betis,33,1991,23.3,2,0,0,15,14,2,1,35,19,,,0,la_liga,2024-2025
72,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0.0,0,0,0,1,0,0,0,0,0,,,0,la_liga,2024-2025
73,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32.0,6,0,0,1,6,0,0,0,3,,,0,la_liga,2024-2025
74,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2.0,1,0,0,8,0,0,0,0,3,,,0,la_liga,2024-2025
75,Sheraldo Becker,sr SUR,"MF,FW",Real Sociedad,29,1995,11.1,1,1,0,8,15,9,65,2,2,,,0,la_liga,2024-2025
76,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,5,0,0,22,8,3,11,11,19,,,0,la_liga,2024-2025
77,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,1,,,0,la_liga,2024-2025
78,Ismael Bekhoucha,ma MAR,DF,Getafe,19,2004,0.8,2,0,0,3,3,0,1,2,1,,,0,la_liga,2024-2025
79,Héctor Bellerín,es ESP,DF,Real Betis,29,1995,6.4,1,0,0,6,0,0,10,6,7,,,0,la_liga,2024-2025
80,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,5,1,0,33,64,9,18,27,35,,,0,la_liga,2024-2025
