Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
19,Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,4,0,0,48,57,1,182,38,20,,,0,bundesliga,2021-2022
20,Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,1,0,0,17,27,18,33,9,6,,,0,bundesliga,2021-2022
21,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,5,0,0,35,31,3,2,43,52,,,0,bundesliga,2021-2022
22,Fisnik Asllani,xk KVX,FW,Hoffenheim,18,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
23,Simon Asta,de GER,"MF,DF",Greuther Fürth,20,2001,8.7,1,0,0,13,9,2,15,7,7,,,1,bundesliga,2021-2022
24,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,1,0,0,25,23,21,10,1,7,,,1,bundesliga,2021-2022
25,Sardar Azmoun,ir IRN,"MF,FW",Leverkusen,26,1995,4.0,0,0,0,8,4,0,2,0,1,,,0,bundesliga,2021-2022
26,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,21,2000,20.2,6,0,0,15,18,0,39,24,21,,,0,bundesliga,2021-2022
27,Ridle Baku,de GER,"MF,DF",Wolfsburg,23,1998,27.2,4,0,0,28,37,10,72,24,39,,,0,bundesliga,2021-2022
28,Aymen Barkok,ma MAR,MF,Eintracht Frankfurt,23,1998,1.8,0,0,0,4,1,0,2,5,3,,,0,bundesliga,2021-2022
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,3,0,0,42,27,0,8,34,33,,,0,bundesliga,2021-2022
30,Jacob Barrett Laursen,dk DEN,"DF,MF",Arminia,26,1994,18.1,1,0,0,12,6,1,54,29,12,,,1,bundesliga,2021-2022
31,Abdourahmane Barry,gn GUI,DF,Greuther Fürth,21,2000,2.3,2,0,0,9,3,0,7,4,5,,,0,bundesliga,2021-2022
32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,5,0,0,26,10,1,1,32,16,,,1,bundesliga,2021-2022
33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,1,0,0,0,3,0,0,0,0,,,0,bundesliga,2021-2022
34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,5,0,0,24,13,0,10,38,29,,,2,bundesliga,2021-2022
35,Julian Baumgartlinger,at AUT,MF,Leverkusen,33,1988,1.0,1,0,0,2,0,0,1,2,1,,,0,bundesliga,2021-2022
36,Christoph Baumgartner,at AUT,MF,Hoffenheim,21,1999,21.0,5,0,0,35,32,1,35,8,16,,,0,bundesliga,2021-2022
37,Noah Joel Sarenren Bazee,ng NGA,MF,Augsburg,24,1996,2.7,1,0,0,6,3,0,10,1,2,,,0,bundesliga,2021-2022
38,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,27,1994,23.2,0,0,0,26,21,11,49,12,15,,,0,bundesliga,2021-2022
39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,19.5,4,0,0,26,25,9,125,2,6,,,0,bundesliga,2021-2022
40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,1,0,0,15,5,1,2,3,2,,,0,bundesliga,2021-2022
41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,1,0,0,19,11,26,12,5,6,,,0,bundesliga,2021-2022
42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,9,0,0,52,7,6,16,41,23,,,1,bundesliga,2021-2022
43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,5,0,0,26,27,3,2,41,18,,,2,bundesliga,2021-2022
44,Karim Bellarabi,de GER,MF,Leverkusen,31,1990,7.6,2,0,0,20,7,1,25,8,5,,,0,bundesliga,2021-2022
45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,9,0,0,39,91,5,14,37,34,,,0,bundesliga,2021-2022
46,George Bello,us USA,DF,Arminia,19,2002,4.8,0,0,0,4,6,1,11,7,7,,,1,bundesliga,2021-2022
47,László Bénes,sk SVK,MF,Gladbach,23,1997,2.7,0,0,0,2,9,0,15,2,3,,,0,bundesliga,2021-2022
48,Keanan Bennetts,eng ENG,MF,Gladbach,22,1999,0.6,1,0,0,2,0,0,2,0,0,,,0,bundesliga,2021-2022
49,Ramy Bensebaini,dz ALG,"DF,MF",Gladbach,26,1995,22.4,6,0,0,34,42,4,15,39,29,,,0,bundesliga,2021-2022
50,Jordan Beyer,de GER,DF,Gladbach,21,2000,15.4,5,0,0,16,21,0,8,15,28,,,0,bundesliga,2021-2022
51,Bartosz Białek,pl POL,FW,Wolfsburg,19,2001,2.0,1,0,0,6,2,0,0,0,0,,,0,bundesliga,2021-2022
52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,0.1,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,0.2,0,0,0,1,0,0,1,0,0,,,0,bundesliga,2021-2022
54,Danny Blum,de GER,FW,Bochum,30,1991,3.8,0,0,0,3,3,0,31,2,1,,,0,bundesliga,2021-2022
55,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,7.7,8,0,0,21,21,1,5,5,5,,,0,bundesliga,2021-2022
56,Herbert Bockhorn,ug UGA,"DF,MF",Bochum,26,1995,9.4,1,0,0,7,21,0,27,14,14,,,0,bundesliga,2021-2022
57,Jean-Paul Boëtius,sr SUR,MF,Mainz 05,27,1994,20.0,3,0,0,20,40,1,50,30,23,,,0,bundesliga,2021-2022
58,Tarsis Bonga,de GER,"FW,MF",Bochum,24,1997,0.2,0,0,0,0,0,0,1,0,0,,,0,bundesliga,2021-2022
59,Solomon Bonnah,nl NED,MF,RB Leipzig,17,2003,0.1,0,0,0,0,0,0,0,1,0,,,0,bundesliga,2021-2022
60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,22.3,4,0,0,22,5,2,0,42,20,,,0,bundesliga,2021-2022
61,Rafael Borré,co COL,FW,Eintracht Frankfurt,25,1995,26.4,5,0,0,39,26,17,16,5,21,,,0,bundesliga,2021-2022
62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,21.1,1,1,0,11,6,3,1,18,13,,,0,bundesliga,2021-2022
63,Julian Brandt,de GER,MF,Dortmund,25,1996,23.1,3,0,0,12,17,2,127,25,20,,,0,bundesliga,2021-2022
64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,0.1,0,0,0,0,0,0,0,0,1,,,0,bundesliga,2021-2022
65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,0,0,0,0,1,0,0,0,0,,,0,bundesliga,2021-2022
66,Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,23,1998,0.2,0,0,0,0,0,0,2,0,0,,,0,bundesliga,2021-2022
67,Brian Brobbey,nl NED,FW,RB Leipzig,19,2002,1.5,0,0,0,3,2,0,0,0,0,,,0,bundesliga,2021-2022
68,John Brooks,us USA,DF,Wolfsburg,28,1993,29.1,2,0,0,9,16,1,4,43,27,,,0,bundesliga,2021-2022
69,Daniel Brosinski,de GER,MF,Mainz 05,33,1988,4.3,0,0,0,1,3,0,23,3,1,,,0,bundesliga,2021-2022
70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,6,0,0,35,24,0,70,46,33,,,0,bundesliga,2021-2022
71,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,22,1998,9.0,1,0,0,6,3,6,10,4,2,,,0,bundesliga,2021-2022
72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,0,0,0,0,2,0,0,0,1,,,0,bundesliga,2021-2022
73,Delano Burgzorg,sr SUR,"FW,MF",Mainz 05,22,1998,0.3,0,0,0,1,0,1,0,0,1,,,0,bundesliga,2021-2022
74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,0,0,0,23,42,10,36,8,8,,,0,bundesliga,2021-2022
75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
76,Daniel Caligiuri,it ITA,MF,Augsburg,33,1988,22.3,4,0,0,32,43,0,108,17,28,,,0,bundesliga,2021-2022
77,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,5,0,0,32,21,1,8,36,22,,,0,bundesliga,2021-2022
78,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,1,0,0,0,2,0,0,0,0,,,0,bundesliga,2021-2022
79,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,0,0,0,6,4,2,21,3,4,,,0,bundesliga,2021-2022
80,Julian Chabot,de GER,DF,Köln,23,1998,2.3,1,0,0,5,7,0,0,4,5,,,0,bundesliga,2021-2022
81,Timothy Chandler,us USA,MF,Eintracht Frankfurt,31,1990,13.5,4,0,0,17,7,4,29,20,12,,,0,bundesliga,2021-2022
82,Justin Che,us USA,DF,Hoffenheim,17,2003,0.5,0,0,0,0,0,0,2,1,0,,,0,bundesliga,2021-2022
83,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,5,0,0,20,19,1,3,67,25,,,0,bundesliga,2021-2022
84,Kingsley Coman,fr FRA,"MF,FW",Bayern Munich,25,1996,15.1,1,1,0,9,22,5,81,8,8,,,0,bundesliga,2021-2022
85,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
86,Sergio Córdova,ve VEN,FW,Augsburg,23,1997,3.6,2,0,0,5,11,5,3,0,3,,,0,bundesliga,2021-2022
87,Danny da Costa,de GER,"MF,DF",Eintracht Frankfurt,28,1993,8.1,2,0,0,8,2,0,22,11,2,,,0,bundesliga,2021-2022
88,Tanguy Coulibaly,fr FRA,"MF,FW",Stuttgart,20,2001,12.0,8,0,0,24,14,6,14,3,14,,,0,bundesliga,2021-2022
89,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,0,0,0,0,0,0,0,0,1,,,0,bundesliga,2021-2022
90,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,0,0,0,1,3,0,0,0,0,,,0,bundesliga,2021-2022
91,Rafael Czichos,de GER,"DF,MF",Köln,31,1990,15.6,4,0,0,16,11,0,3,19,20,,,1,bundesliga,2021-2022
92,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,1,0,0,5,0,0,5,3,0,,,0,bundesliga,2021-2022
93,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,5,0,0,29,19,2,5,5,11,,,0,bundesliga,2021-2022
94,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2021-2022
