Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
390,Panagiotis Retsos,gr GRE,DF,Leverkusen,22,1998,0.4,0,1,0,0.0,2.81,0.0,0.0,,0,0,bundesliga,2021-2022
391,Marco Reus,de GER,"MF,FW",Dortmund,32,1989,27.8,9,51,22,43.1,1.83,0.79,0.18,0.41,0,0,bundesliga,2021-2022
392,Elvis Rexhbeçaj,xk KVX,MF,Bochum,23,1997,28.2,0,34,6,17.6,1.2,0.21,0.0,0.0,0,0,bundesliga,2021-2022
393,Gio Reyna,us USA,"MF,FW",Dortmund,18,2002,4.9,2,11,6,54.5,2.26,1.23,0.18,0.33,0,0,bundesliga,2021-2022
394,Chris Richards,us USA,DF,Hoffenheim,21,2000,14.5,1,9,1,11.1,0.62,0.07,0.11,1.0,0,0,bundesliga,2021-2022
395,Chris Richards,us USA,DF,Bayern Munich,21,2000,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
396,Omar Richards,eng ENG,"DF,MF",Bayern Munich,23,1998,4.9,0,4,0,0.0,0.82,0.0,0.0,,0,0,bundesliga,2021-2022
397,Marco Richter,de GER,"MF,FW",Hertha BSC,23,1997,18.9,5,44,17,38.6,2.32,0.9,0.11,0.29,0,0,bundesliga,2021-2022
398,Manuel Riemann,de GER,GK,Bochum,32,1988,31.0,0,1,0,0.0,0.03,0.0,0.0,,0,1,bundesliga,2021-2022
399,Marc Roca,es ESP,MF,Bayern Munich,24,1996,4.2,0,5,0,0.0,1.19,0.0,0.0,,0,0,bundesliga,2021-2022
400,Cimo Röcker,de GER,DF,Hertha BSC,27,1994,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
401,Sebastian Rode,de GER,MF,Eintracht Frankfurt,30,1990,8.4,1,6,2,33.3,0.71,0.24,0.17,0.5,0,0,bundesliga,2021-2022
402,Romario Rösch,de GER,MF,Mainz 05,22,1999,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
403,Tom Rothe,de GER,MF,Dortmund,16,2004,1.0,1,2,1,50.0,1.91,0.96,0.5,1.0,0,0,bundesliga,2021-2022
404,Jérôme Roussillon,fr FRA,"MF,DF",Wolfsburg,28,1993,19.7,1,12,5,41.7,0.61,0.25,0.08,0.2,0,0,bundesliga,2021-2022
405,Sebastian Rudy,de GER,MF,Hoffenheim,31,1990,8.6,3,14,5,35.7,1.63,0.58,0.21,0.6,0,0,bundesliga,2021-2022
406,Georginio Rutter,fr FRA,"FW,MF",Hoffenheim,19,2002,17.9,8,52,22,42.3,2.91,1.23,0.15,0.36,0,0,bundesliga,2021-2022
407,Julian Ryerson,no NOR,"MF,DF",Union Berlin,23,1997,15.9,2,17,6,35.3,1.07,0.38,0.12,0.33,0,0,bundesliga,2021-2022
408,Frederik Rønnow,dk DEN,GK,Union Berlin,28,1992,7.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
409,Marcel Sabitzer,at AUT,"MF,DF",Bayern Munich,27,1994,10.1,1,20,6,30.0,1.99,0.6,0.05,0.17,0,0,bundesliga,2021-2022
410,Marcel Sabitzer,at AUT,"FW,MF",RB Leipzig,27,1994,0.5,0,2,0,0.0,3.67,0.0,0.0,,0,0,bundesliga,2021-2022
411,Roland Sallai,hu HUN,"MF,FW",Freiburg,24,1997,17.2,4,47,10,21.3,2.73,0.58,0.09,0.4,0,0,bundesliga,2021-2022
412,Diadie Samassékou,ml MLI,MF,Hoffenheim,25,1996,18.4,2,15,4,26.7,0.82,0.22,0.13,0.5,0,0,bundesliga,2021-2022
413,Leroy Sané,de GER,MF,Bayern Munich,25,1996,22.0,7,89,32,36.0,4.05,1.46,0.08,0.22,0,0,bundesliga,2021-2022
414,Mohamed Sankoh,nl NED,FW,Stuttgart,17,2003,0.0,0,1,1,100.0,22.5,22.5,0.0,0.0,0,0,bundesliga,2021-2022
415,Baptiste Santamaria,fr FRA,MF,Freiburg,26,1995,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
416,Bouna Sarr,sn SEN,"DF,MF",Bayern Munich,29,1992,0.7,0,1,0,0.0,1.41,0.0,0.0,,0,0,bundesliga,2021-2022
417,Joe Scally,us USA,"MF,DF",Gladbach,18,2002,21.2,1,18,6,33.3,0.85,0.28,0.06,0.17,0,0,bundesliga,2021-2022
418,Kevin Schade,de GER,"MF,FW",Freiburg,19,2001,9.2,4,19,9,47.4,2.06,0.97,0.21,0.44,0,0,bundesliga,2021-2022
419,András Schäfer,hu HUN,MF,Union Berlin,22,1999,2.7,1,7,3,42.9,2.64,1.13,0.14,0.33,0,0,bundesliga,2021-2022
420,Louis Schaub,at AUT,MF,Köln,26,1994,7.3,1,14,2,14.3,1.93,0.28,0.07,0.5,0,0,bundesliga,2021-2022
421,Patrik Schick,cz CZE,FW,Leverkusen,25,1996,23.1,24,90,45,50.0,3.9,1.95,0.26,0.51,1,2,bundesliga,2021-2022
422,Kingsley Schindler,gh GHA,DF,Köln,28,1993,3.9,1,3,1,33.3,0.77,0.26,0.33,1.0,0,0,bundesliga,2021-2022
423,Xaver Schlager,at AUT,MF,Wolfsburg,23,1997,11.6,0,10,1,10.0,0.87,0.09,0.0,0.0,0,0,bundesliga,2021-2022
424,Keven Schlotterbeck,de GER,DF,Freiburg,24,1997,3.5,0,1,0,0.0,0.29,0.0,0.0,,0,0,bundesliga,2021-2022
425,Nico Schlotterbeck,de GER,DF,Freiburg,21,1999,30.9,4,36,16,44.4,1.16,0.52,0.11,0.25,0,0,bundesliga,2021-2022
426,Jonathan Schmid,fr FRA,"MF,DF",Freiburg,31,1990,6.5,0,5,1,20.0,0.77,0.15,0.0,0.0,0,0,bundesliga,2021-2022
427,Benno Schmitz,de GER,DF,Köln,26,1994,26.9,0,12,3,25.0,0.45,0.11,0.0,0.0,0,0,bundesliga,2021-2022
428,Alessandro Schöpf,at AUT,"MF,FW",Arminia,27,1994,26.6,1,35,9,25.7,1.31,0.34,0.03,0.11,0,0,bundesliga,2021-2022
429,Nico Schulz,de GER,DF,Dortmund,28,1993,9.3,0,3,2,66.7,0.32,0.22,0.0,0.0,0,0,bundesliga,2021-2022
430,Marvin Schwäbe,de GER,GK,Köln,26,1995,21.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
431,Alexander Schwolow,de GER,GK,Hertha BSC,29,1992,24.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
432,Paul Seguin,de GER,MF,Greuther Fürth,26,1995,23.4,0,11,2,18.2,0.47,0.09,0.0,0.0,0,0,bundesliga,2021-2022
433,Davie Selke,de GER,FW,Hertha BSC,26,1995,11.2,4,26,10,38.5,2.33,0.9,0.12,0.3,1,1,bundesliga,2021-2022
434,Lion Semić,de GER,DF,Dortmund,17,2003,0.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
435,Suat Serdar,de GER,MF,Hertha BSC,24,1997,24.6,3,33,11,33.3,1.34,0.45,0.09,0.27,0,0,bundesliga,2021-2022
436,Janni Serra,de GER,FW,Arminia,23,1998,12.4,3,24,9,37.5,1.93,0.73,0.13,0.33,0,0,bundesliga,2021-2022
437,Zidan Sertdemir,dk DEN,MF,Leverkusen,16,2005,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
438,Nils Seufert,de GER,MF,Greuther Fürth,24,1997,1.1,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
439,Kiliann Sildillia,fr FRA,MF,Freiburg,19,2002,1.9,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
440,André Silva,pt POR,FW,RB Leipzig,25,1995,23.1,11,58,28,48.3,2.51,1.21,0.14,0.29,3,3,bundesliga,2021-2022
441,Mohamed Simakan,fr FRA,DF,RB Leipzig,21,2000,22.3,1,11,3,27.3,0.49,0.13,0.09,0.33,0,0,bundesliga,2021-2022
442,Daley Sinkgraven,nl NED,DF,Leverkusen,26,1995,3.9,0,1,1,100.0,0.26,0.26,0.0,0.0,0,0,bundesliga,2021-2022
443,Tobias Sippel,de GER,GK,Gladbach,33,1988,1.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
444,Hugo Siquet,be BEL,"DF,MF",Freiburg,19,2002,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
445,Ellyes Skhiri,tn TUN,"MF,DF",Köln,26,1995,20.2,4,23,8,34.8,1.14,0.4,0.17,0.5,0,0,bundesliga,2021-2022
446,Robert Skov,dk DEN,MF,Hoffenheim,25,1996,4.1,0,12,2,16.7,2.93,0.49,0.0,0.0,0,0,bundesliga,2021-2022
447,Danilo Soares,br BRA,DF,Bochum,29,1991,28.5,0,13,1,7.7,0.46,0.04,0.0,0.0,0,0,bundesliga,2021-2022
448,Yann Sommer,ch SUI,GK,Gladbach,32,1988,33.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2021-2022
449,Borna Sosa,hr CRO,"MF,DF",Stuttgart,23,1998,27.8,1,26,6,23.1,0.94,0.22,0.04,0.17,0,0,bundesliga,2021-2022
450,Djibril Sow,ch SUI,MF,Eintracht Frankfurt,24,1997,26.8,2,16,3,18.8,0.6,0.11,0.13,0.67,0,0,bundesliga,2021-2022
451,Jerry St. Juste,nl NED,DF,Mainz 05,24,1996,6.7,1,12,3,25.0,1.79,0.45,0.08,0.33,0,0,bundesliga,2021-2022
452,Anton Stach,de GER,MF,Mainz 05,22,1998,20.7,1,48,13,27.1,2.32,0.63,0.02,0.08,0,0,bundesliga,2021-2022
453,Kostas Stafylidis,gr GRE,"DF,MF",Bochum,27,1993,15.4,0,16,5,31.3,1.04,0.32,0.0,0.0,0,0,bundesliga,2021-2022
454,Josip Stanišić,hr CRO,"DF,MF",Bayern Munich,21,2000,7.2,1,4,3,75.0,0.56,0.42,0.25,0.33,0,0,bundesliga,2021-2022
455,Niklas Stark,de GER,DF,Hertha BSC,26,1995,22.6,1,11,4,36.4,0.49,0.18,0.09,0.25,0,0,bundesliga,2021-2022
456,Renato Steffen,ch SUI,MF,Wolfsburg,29,1991,10.7,0,13,2,15.4,1.21,0.19,0.0,0.0,0,0,bundesliga,2021-2022
457,Pascal Stenzel,de GER,DF,Stuttgart,25,1996,10.0,0,7,3,42.9,0.7,0.3,0.0,0.0,0,0,bundesliga,2021-2022
458,Angelo Stiller,de GER,MF,Hoffenheim,20,2001,18.8,2,15,4,26.7,0.8,0.21,0.13,0.5,0,0,bundesliga,2021-2022
459,Lars Stindl,de GER,"MF,FW",Gladbach,32,1988,18.1,4,43,16,37.2,2.38,0.88,0.09,0.25,0,2,bundesliga,2021-2022
460,Kevin Stöger,at AUT,MF,Mainz 05,27,1993,4.7,1,16,6,37.5,3.44,1.29,0.06,0.17,0,0,bundesliga,2021-2022
461,Tobias Strobl,de GER,MF,Augsburg,31,1990,3.6,0,3,1,33.3,0.84,0.28,0.0,0.0,0,0,bundesliga,2021-2022
462,Niklas Süle,de GER,"DF,MF",Bayern Munich,25,1995,20.4,1,16,6,37.5,0.78,0.29,0.06,0.17,0,0,bundesliga,2021-2022
463,Ádám Szalai,hu HUN,FW,Mainz 05,33,1987,2.9,1,9,3,33.3,3.12,1.04,0.11,0.33,0,0,bundesliga,2021-2022
464,Dominik Szoboszlai,hu HUN,MF,RB Leipzig,20,2000,17.1,6,41,15,36.6,2.39,0.87,0.15,0.4,0,1,bundesliga,2021-2022
465,Jonathan Tah,de GER,DF,Leverkusen,25,1996,32.0,2,16,3,18.8,0.5,0.09,0.13,0.67,0,0,bundesliga,2021-2022
466,Edmond Tapsoba,bf BFA,DF,Leverkusen,22,1999,20.2,1,6,1,16.7,0.3,0.05,0.17,1.0,0,0,bundesliga,2021-2022
467,Niklas Tauer,de GER,"MF,DF",Mainz 05,20,2001,5.4,0,2,2,100.0,0.37,0.37,0.0,0.0,0,0,bundesliga,2021-2022
468,Robert Tesche,de GER,MF,Bochum,34,1987,3.9,0,2,0,0.0,0.52,0.0,0.0,,0,0,bundesliga,2021-2022
