Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
66,Karim Benzema,fr FRA,FW,Real Madrid,34,1987,22.6,1,0,0,10,6,22,3,1,5,,,0,la_liga,2022-2023
67,Yuri Berchiche,es ESP,DF,Athletic Club,32,1990,26.7,9,1,1,31,33,5,67,36,33,,,0,la_liga,2022-2023
68,Álex Berenguer,es ESP,MF,Athletic Club,27,1995,25.5,2,0,0,48,26,19,164,10,35,,,0,la_liga,2022-2023
69,Pedro Bigas,es ESP,DF,Elche,31,1990,22.4,4,2,0,16,16,0,6,33,20,,,0,la_liga,2022-2023
70,El Bilal Touré,ml MLI,FW,Almería,20,2001,14.0,0,0,0,25,7,13,4,3,3,,,0,la_liga,2022-2023
71,Antonio Blanco,es ESP,MF,Cádiz,22,2000,1.8,0,0,0,2,1,0,0,1,4,,,0,la_liga,2022-2023
72,Lautaro Blanco,ar ARG,"DF,MF",Elche,23,1999,9.7,2,0,0,7,2,2,86,2,10,,,0,la_liga,2022-2023
73,Theo Bongonda,cd COD,MF,Cádiz,26,1995,21.5,2,0,0,15,37,6,67,6,21,,,0,la_liga,2022-2023
74,Yassine Bounou,ma MAR,GK,Sevilla,31,1991,23.9,2,0,0,0,1,0,0,2,1,,,0,la_liga,2022-2023
75,Lucas Boyé,ar ARG,FW,Elche,26,1996,27.4,7,1,0,61,45,14,16,14,16,,,0,la_liga,2022-2023
76,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31,1991,27.3,5,1,0,21,42,13,20,6,3,,,0,la_liga,2022-2023
77,Darko Brašanac,rs SRB,MF,Osasuna,30,1992,11.6,5,0,0,16,14,3,7,12,20,,,0,la_liga,2022-2023
78,Claudio Bravo,cl CHI,GK,Real Betis,39,1983,12.0,2,0,0,0,0,0,0,2,0,,,0,la_liga,2022-2023
79,Ante Budimir,hr CRO,FW,Osasuna,31,1991,20.0,5,0,0,48,23,12,3,5,8,,,0,la_liga,2022-2023
80,Manu Bueno,es ESP,MF,Sevilla,18,2004,1.7,0,0,0,1,2,0,0,1,4,,,0,la_liga,2022-2023
81,Santiago Bueno,uy URU,DF,Girona,23,1998,33.4,7,1,1,36,36,2,3,35,37,,,0,la_liga,2022-2023
82,Sergio Busquets,es ESP,MF,Barcelona,34,1988,26.0,8,1,1,32,40,0,7,29,27,,,0,la_liga,2022-2023
83,Leandro Cabrera,uy URU,DF,Espanyol,31,1991,29.7,10,2,1,29,20,1,15,42,25,,,1,la_liga,2022-2023
84,Cala,es ESP,DF,Cádiz,32,1989,1.5,0,0,0,1,5,0,0,1,1,,,0,la_liga,2022-2023
85,Fernando Calero,es ESP,"DF,MF",Espanyol,26,1995,17.9,6,0,0,22,9,1,4,15,31,,,0,la_liga,2022-2023
86,Alexander Callens,pe PER,DF,Girona,30,1992,1.3,1,0,0,3,1,0,0,1,3,,,0,la_liga,2022-2023
87,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,19,2002,22.3,6,0,0,39,69,3,6,19,49,,,0,la_liga,2022-2023
88,Sergio Camello,es ESP,FW,Rayo Vallecano,21,2001,26.7,1,0,0,12,18,11,5,2,9,,,0,la_liga,2022-2023
89,Sergio Canales,es ESP,MF,Real Betis,31,1991,26.7,4,2,1,9,29,4,129,13,13,,,0,la_liga,2022-2023
90,Ander Capa,es ESP,DF,Athletic Club,30,1992,1.2,1,0,0,4,0,0,4,0,1,,,0,la_liga,2022-2023
91,Étienne Capoue,fr FRA,MF,Villarreal,34,1988,21.7,4,0,0,18,41,0,9,19,11,,,0,la_liga,2022-2023
92,Isaac Carcelen,es ESP,DF,Cádiz,29,1993,24.4,4,3,0,16,26,2,73,20,51,,,0,la_liga,2022-2023
93,Juan Carlos,es ESP,GK,Girona,34,1988,10.0,0,0,0,0,0,0,0,1,0,,,0,la_liga,2022-2023
94,José Carlos Lazo,es ESP,MF,Almería,26,1996,0.2,0,0,0,1,1,0,0,0,0,,,0,la_liga,2022-2023
95,José Carlos Lazo,es ESP,MF,Espanyol,26,1996,1.8,0,0,0,2,5,0,4,3,3,,,0,la_liga,2022-2023
96,Carmona,es ESP,"MF,DF",Elche,20,2002,6.5,5,1,1,19,7,2,12,7,9,,,0,la_liga,2022-2023
97,Carmona,es ESP,DF,Sevilla,20,2002,5.9,6,1,1,14,6,0,11,7,12,,,0,la_liga,2022-2023
