Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,league,season
348,Willian Pacho,ec ECU,DF,Eintracht Frankfurt,21,2001,33,33,2970,33.0,0,3,3,0,0,0,7,0,0.0,0.09,0.09,0.0,0.09,bundesliga,2023-2024
349,Gonçalo Paciência,pt POR,FW,Bochum,28,1994,19,6,650,7.2,3,1,4,3,0,0,3,0,0.42,0.14,0.55,0.42,0.55,bundesliga,2023-2024
350,Exequiel Palacios,ar ARG,MF,Leverkusen,24,1998,24,21,1831,20.3,4,4,8,2,2,2,6,0,0.2,0.2,0.39,0.1,0.29,bundesliga,2023-2024
351,Miloš Pantović,rs SRB,"FW,MF",Union Berlin,27,1996,1,0,15,0.2,1,0,1,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0,bundesliga,2023-2024
352,Antonios Papadopoulos,de GER,DF,Dortmund,23,1999,2,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
353,Merveille Papela,de GER,MF,Mainz 05,22,2001,11,3,257,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
354,Leart Paqarada,xk KVX,DF,Köln,28,1994,17,11,1075,11.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
355,Kevin Paredes,us USA,"MF,DF",Wolfsburg,20,2003,28,15,1432,15.9,3,0,3,3,0,0,4,0,0.19,0.0,0.19,0.19,0.19,bundesliga,2023-2024
356,Felix Passlack,de GER,"DF,MF",Bochum,25,1998,15,13,960,10.7,2,2,4,2,0,0,2,1,0.19,0.19,0.37,0.19,0.37,bundesliga,2023-2024
357,Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
358,Aleksandar Pavlovic,de GER,MF,Bayern Munich,19,2004,19,14,1227,13.6,2,2,4,2,0,0,6,0,0.15,0.15,0.29,0.15,0.29,bundesliga,2023-2024
359,Mads Pedersen,dk DEN,"DF,MF",Augsburg,26,1996,27,19,1786,19.8,1,1,2,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,bundesliga,2023-2024
360,Jordan Pefok,us USA,FW,Gladbach,27,1996,25,18,1420,15.8,5,3,8,5,0,0,2,0,0.32,0.19,0.51,0.32,0.51,bundesliga,2023-2024
361,Jordan Pefok,us USA,FW,Union Berlin,27,1996,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
362,Dženan Pejčinović,de GER,DF,Wolfsburg,18,2005,4,0,37,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
363,Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
364,Matteo Perez Vinlöf,se SWE,DF,Bayern Munich,17,2005,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
365,Pavao Pervan,at AUT,GK,Wolfsburg,35,1987,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
366,Jens Petter Hauge,no NOR,"DF,FW",Eintracht Frankfurt,23,1999,10,0,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
367,Luca Pfeiffer,de GER,"FW,MF",Darmstadt 98,26,1996,24,20,1619,18.0,1,4,5,1,0,0,3,0,0.06,0.22,0.28,0.06,0.28,bundesliga,2023-2024
368,Patric Pfeiffer,de GER,DF,Augsburg,23,1999,11,4,511,5.7,0,1,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,bundesliga,2023-2024
369,Maximilian Philipp,de GER,FW,Freiburg,29,1994,17,1,323,3.6,1,0,1,1,0,0,2,0,0.28,0.0,0.28,0.28,0.28,bundesliga,2023-2024
370,Florian Pick,de GER,MF,Heidenheim,27,1995,22,1,327,3.6,0,1,1,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,bundesliga,2023-2024
371,Amos Pieper,de GER,DF,Werder Bremen,25,1998,7,7,590,6.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
372,Marvin Pieringer,de GER,"FW,MF",Heidenheim,23,1999,31,18,1513,16.8,3,3,6,3,0,0,5,0,0.18,0.18,0.36,0.18,0.36,bundesliga,2023-2024
373,Alassane Pléa,fr FRA,"FW,MF",Gladbach,30,1993,27,24,1913,21.3,7,4,11,6,1,1,1,0,0.33,0.19,0.52,0.28,0.47,bundesliga,2023-2024
374,Ole Pohlmann,de GER,"FW,MF",Dortmund,22,2001,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
375,Sebastian Polter,de GER,FW,Darmstadt 98,32,1991,9,4,446,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,bundesliga,2023-2024
376,Yussuf Poulsen,dk DEN,FW,RB Leipzig,29,1994,28,12,1217,13.5,5,2,7,5,0,0,0,0,0.37,0.15,0.52,0.37,0.52,bundesliga,2023-2024
377,Grischa Prömel,de GER,MF,Hoffenheim,28,1995,28,27,2139,23.8,4,5,9,4,0,0,10,1,0.17,0.21,0.38,0.17,0.38,bundesliga,2023-2024
378,Gustavo Puerta,co COL,MF,Leverkusen,20,2003,7,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
379,Luca Raimund,de GER,MF,Stuttgart,18,2005,3,0,30,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
380,Grant Ranos,am ARM,FW,Gladbach,20,2003,9,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,bundesliga,2023-2024
