Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
190,Amadou Haidara,ml MLI,MF,RB Leipzig,25,1998,21,1526.0,73.0,49.9,17.0,19,79.0,4,2,11.0,2,2.1,44.0,17.0,27.0,1.59,0.95,bundesliga,2023-2024
191,Sébastien Haller,ci CIV,FW,Dortmund,29,1994,14,396.0,28.0,12.9,4.4,5,56.0,0,9,13.0,3,2.0,6.0,5.0,1.0,0.23,-0.58,bundesliga,2023-2024
192,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26,1997,15,992.0,66.0,32.4,11.0,12,80.0,6,3,12.0,0,1.6,18.0,10.0,8.0,0.73,1.6,bundesliga,2023-2024
193,Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,18,2004,3,27.0,9.0,0.9,0.3,0,,0,3,9.0,7,1.0,0.0,3.0,-3.0,-10.0,-9.91,bundesliga,2023-2024
194,Genki Haraguchi,jp JPN,"FW,MF",Stuttgart,32,1991,2,27.0,14.0,0.9,0.3,0,,0,2,14.0,24,1.5,0.0,2.0,-2.0,-6.67,-7.88,bundesliga,2023-2024
195,Makoto Hasebe,jp JPN,"MF,DF",Eintracht Frankfurt,39,1984,8,218.0,27.0,7.1,2.4,2,87.0,1,6,7.0,23,1.75,3.0,7.0,-4.0,-1.65,-1.81,bundesliga,2023-2024
196,Daniel Hausmann,de GER,MF,Augsburg,20,2003,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2023-2024
197,Thorgan Hazard,be BEL,"FW,MF",Dortmund,30,1993,1,7.0,7.0,0.2,0.1,0,,0,1,7.0,1,3.0,1.0,0.0,1.0,12.86,12.15,bundesliga,2023-2024
198,Dominique Heintz,de GER,DF,Köln,29,1993,12,568.0,47.0,18.6,6.3,6,76.0,3,6,19.0,19,1.17,5.0,9.0,-4.0,-0.63,0.38,bundesliga,2023-2024
199,Benjamin Henrichs,de GER,"DF,MF",RB Leipzig,26,1997,33,2526.0,77.0,82.5,28.1,28,86.0,18,5,22.0,0,1.94,65.0,31.0,34.0,1.21,0.54,bundesliga,2023-2024
200,Patrick Herrmann,de GER,"FW,MF",Gladbach,32,1991,8,86.0,11.0,2.8,1.0,0,,0,8,11.0,21,1.38,2.0,2.0,0.0,0.0,0.33,bundesliga,2023-2024
201,Piero Hincapié,ec ECU,DF,Leverkusen,21,2002,26,1484.0,57.0,48.5,16.5,16,84.0,10,10,15.0,5,2.62,36.0,9.0,27.0,1.64,-0.53,bundesliga,2023-2024
202,Adam Hložek,cz CZE,"MF,FW",Leverkusen,21,2002,23,459.0,20.0,15.0,5.1,5,71.0,1,18,6.0,7,2.83,13.0,3.0,10.0,1.96,0.06,bundesliga,2023-2024
203,Nicolas Höfler,de GER,MF,Freiburg,33,1990,28,2330.0,83.0,76.1,25.9,26,89.0,22,2,13.0,0,1.18,37.0,46.0,-9.0,-0.35,0.15,bundesliga,2023-2024
204,Jonas Hofmann,de GER,MF,Leverkusen,31,1992,32,2204.0,69.0,72.0,24.5,26,81.0,7,6,16.0,1,2.63,66.0,20.0,46.0,1.88,-0.12,bundesliga,2023-2024
205,Philipp Hofmann,de GER,FW,Bochum,30,1993,29,1571.0,54.0,51.3,17.5,18,72.0,4,11,25.0,2,0.86,24.0,39.0,-15.0,-0.86,0.17,bundesliga,2023-2024
206,Lucas Höler,de GER,"FW,MF",Freiburg,29,1994,33,2305.0,70.0,75.3,25.6,26,83.0,10,7,21.0,0,1.18,31.0,50.0,-19.0,-0.74,-1.46,bundesliga,2023-2024
207,Fabian Holland,de GER,"MF,DF",Darmstadt 98,33,1990,23,1835.0,80.0,60.0,20.4,23,80.0,11,0,,0,0.48,21.0,48.0,-27.0,-1.32,0.81,bundesliga,2023-2024
208,Benedict Hollerbach,de GER,"FW,MF",Union Berlin,22,2001,28,1282.0,46.0,41.9,14.2,15,68.0,1,13,20.0,5,0.93,14.0,25.0,-11.0,-0.77,-0.06,bundesliga,2023-2024
209,Gerrit Holtmann,ph PHI,MF,Darmstadt 98,28,1995,10,392.0,39.0,12.8,4.4,2,65.0,0,8,33.0,1,0.4,3.0,11.0,-8.0,-1.84,-0.22,bundesliga,2023-2024
210,Franck Honorat,fr FRA,"MF,FW",Gladbach,26,1996,32,2345.0,73.0,76.6,26.1,28,81.0,10,4,16.0,0,1.06,48.0,50.0,-2.0,-0.08,1.06,bundesliga,2023-2024
211,Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,26,1996,23,1021.0,44.0,33.4,11.3,10,73.0,2,13,22.0,0,0.57,9.0,39.0,-30.0,-2.64,-1.5,bundesliga,2023-2024
212,Fraser Hornby,sct SCO,FW,Darmstadt 98,23,1999,7,217.0,31.0,7.1,2.4,1,61.0,0,6,26.0,1,1.0,1.0,6.0,-5.0,-2.07,-0.46,bundesliga,2023-2024
213,Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33,2970.0,90.0,97.1,33.0,33,90.0,33,0,,1,2.7,89.0,24.0,65.0,1.97,1.97,bundesliga,2023-2024
214,Timo Hübers,de GER,DF,Köln,27,1996,31,2778.0,90.0,90.8,30.9,31,90.0,30,0,,0,0.81,24.0,53.0,-29.0,-0.94,0.02,bundesliga,2023-2024
215,Tom Hülsmann,de GER,GK,Bayern Munich,19,2004,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2023-2024
216,Mats Hummels,de GER,DF,Dortmund,34,1988,25,1581.0,63.0,51.7,17.6,20,75.0,13,5,18.0,4,1.88,34.0,24.0,10.0,0.57,-0.34,bundesliga,2023-2024
217,Denis Huseinbasic,ba BIH,MF,Köln,22,2001,26,1627.0,63.0,53.2,18.1,18,83.0,10,8,18.0,6,0.77,18.0,36.0,-18.0,-1.0,-0.12,bundesliga,2023-2024
218,Iago,br BRA,"DF,MF",Augsburg,26,1997,23,1622.0,71.0,53.0,18.0,18,82.0,12,5,29.0,0,1.43,29.0,20.0,9.0,0.5,1.69,bundesliga,2023-2024
219,Borja Iglesias,es ESP,FW,Leverkusen,30,1993,7,256.0,37.0,8.4,2.8,2,78.0,1,5,20.0,4,3.0,11.0,1.0,10.0,3.52,1.75,bundesliga,2023-2024
220,Joel Imasuen,us USA,FW,Werder Bremen,18,2004,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.18,bundesliga,2023-2024
221,Thomas Isherwood,se SWE,DF,Darmstadt 98,25,1998,12,636.0,53.0,20.8,7.1,8,72.0,2,4,16.0,14,0.5,8.0,25.0,-17.0,-2.41,-0.96,bundesliga,2023-2024
222,Ko Itakura,jp JPN,"DF,MF",Gladbach,26,1997,20,1596.0,80.0,52.2,17.7,18,87.0,13,2,20.0,0,0.8,23.0,35.0,-12.0,-0.68,-0.74,bundesliga,2023-2024
223,Hiroki Ito,jp JPN,DF,Stuttgart,24,1999,26,2228.0,86.0,72.8,24.8,25,88.0,20,1,22.0,0,2.31,59.0,27.0,32.0,1.29,0.54,bundesliga,2023-2024
224,Ken Izekor,de GER,FW,Leverkusen,16,2007,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2023-2024
225,Lee Jae-sung,kr KOR,MF,Mainz 05,30,1992,29,2113.0,73.0,69.1,23.5,24,79.0,6,5,43.0,0,1.1,33.0,32.0,1.0,0.04,1.28,bundesliga,2023-2024
226,Paul Jaeckel,de GER,DF,Union Berlin,25,1998,6,234.0,39.0,7.6,2.6,2,90.0,2,4,14.0,19,1.67,2.0,6.0,-4.0,-1.54,-0.87,bundesliga,2023-2024
227,Kristijan Jakić,hr CRO,MF,Augsburg,26,1997,14,1051.0,75.0,34.3,11.7,13,78.0,8,1,31.0,0,1.29,17.0,15.0,2.0,0.17,0.71,bundesliga,2023-2024
228,Kristijan Jakić,hr CRO,MF,Eintracht Frankfurt,26,1997,4,200.0,50.0,6.5,2.2,1,69.0,0,3,44.0,2,1.75,2.0,1.0,1.0,0.45,0.45,bundesliga,2023-2024
229,Luka Janes,de GER,MF,Heidenheim,19,2004,0,,,,,0,,0,0,,5,,,,,,,bundesliga,2023-2024
230,Tony Jantschke,de GER,"DF,MF",Gladbach,33,1990,4,27.0,7.0,0.9,0.3,0,,0,4,7.0,8,1.75,1.0,1.0,0.0,0.0,0.33,bundesliga,2023-2024
231,Seedy Jarju,gm GAM,DF,Heidenheim,18,2004,0,,,,,0,,0,0,,1,,,,,,,bundesliga,2023-2024
232,Nuha Jatta,gm GAM,MF,RB Leipzig,17,2006,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,-1.12,bundesliga,2023-2024
233,Fredrik Jensen,fi FIN,MF,Augsburg,25,1997,22,1338.0,61.0,43.7,14.9,18,70.0,0,4,19.0,2,1.45,26.0,22.0,4.0,0.27,1.0,bundesliga,2023-2024
234,Moritz Jenz,de GER,DF,Wolfsburg,24,1999,22,1742.0,79.0,56.9,19.4,21,81.0,16,1,45.0,6,0.82,23.0,32.0,-9.0,-0.46,-0.06,bundesliga,2023-2024
235,Ryan Johansson,ie IRL,MF,Freiburg,22,2001,0,,,,,0,,0,0,,2,,,,,,,bundesliga,2023-2024
