Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts,Starts_Mn/Start,Starts_Compl,Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,league,season
667,Hugo Solozabal,es ESP,MF,Leganés,21.0,2003.0,0,,,,,0,,0,0,,2,,,,,,,la_liga,2024-2025
668,David Soria,es ESP,GK,Getafe,31.0,1993.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.11,34.0,39.0,-5.0,-0.13,,la_liga,2024-2025
669,Juan Soriano,es ESP,GK,Leganés,26.0,1997.0,6,540.0,90.0,15.8,6.0,6,90.0,6,0,,30,0.86,4.0,8.0,-4.0,-0.67,-0.26,la_liga,2024-2025
670,Hugo Sotelo,es ESP,MF,Celta Vigo,20.0,2003.0,24,1254.0,52.0,36.7,13.9,15,76.0,4,9,13.0,12,1.17,21.0,20.0,1.0,0.07,0.03,la_liga,2024-2025
671,Djibril Sow,ch SUI,MF,Sevilla,27.0,1997.0,30,2062.0,69.0,60.3,22.9,24,81.0,9,6,18.0,1,1.0,22.0,28.0,-6.0,-0.26,0.2,la_liga,2024-2025
672,Gerónimo Spina,ar ARG,DF,Atlético Madrid,19.0,2005.0,0,,,,,0,,0,0,,1,,,,,,,la_liga,2024-2025
673,Dimitrios Stamatakis,gr GRE,GK,Osasuna,21.0,2003.0,0,,,,,0,,0,0,,8,,,,,,,la_liga,2024-2025
674,Carl Starfelt,se SWE,DF,Celta Vigo,29.0,1995.0,28,2270.0,81.0,66.4,25.2,26,85.0,23,2,31.0,2,1.39,33.0,35.0,-2.0,-0.08,-0.39,la_liga,2024-2025
675,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,19.0,2004.0,23,944.0,41.0,27.6,10.5,9,66.0,1,14,25.0,2,1.22,9.0,15.0,-6.0,-0.57,-0.39,la_liga,2024-2025
676,Stoichkov,es ESP,"MF,FW",Alavés,30.0,1993.0,16,699.0,44.0,20.4,7.8,6,73.0,2,10,26.0,4,1.19,10.0,13.0,-3.0,-0.39,-0.15,la_liga,2024-2025
677,Cristhian Stuani,uy URU,FW,Girona,37.0,1986.0,32,1078.0,34.0,31.5,12.0,6,79.0,0,26,23.0,6,1.16,19.0,15.0,4.0,0.33,1.1,la_liga,2024-2025
678,Álex Suárez,es ESP,DF,Las Palmas,31.0,1993.0,30,2460.0,82.0,71.9,27.3,30,82.0,18,0,,5,0.93,28.0,45.0,-17.0,-0.62,-0.25,la_liga,2024-2025
679,Denis Suárez,es ESP,MF,Villarreal,30.0,1994.0,21,608.0,29.0,17.8,6.8,7,59.0,0,14,14.0,10,1.57,12.0,13.0,-1.0,-0.15,-0.82,la_liga,2024-2025
680,Luka Sučić,hr CRO,MF,Real Sociedad,21.0,2002.0,29,1792.0,62.0,52.4,19.9,21,78.0,10,8,20.0,3,1.21,16.0,27.0,-11.0,-0.55,-0.55,la_liga,2024-2025
681,Suso,es ESP,"MF,FW",Sevilla,30.0,1993.0,16,606.0,38.0,17.7,6.7,4,86.0,2,12,22.0,14,1.25,10.0,11.0,-1.0,-0.15,0.24,la_liga,2024-2025
682,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,20.0,2004.0,32,1348.0,42.0,39.4,15.0,15,62.0,0,17,25.0,1,1.28,29.0,19.0,10.0,0.67,1.02,la_liga,2024-2025
683,Grégoire Swiderski,ca CAN,GK,Alavés,18.0,2005.0,0,,,,,0,,0,0,,4,,,,,,,la_liga,2024-2025
684,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,30.0,1994.0,29,1583.0,55.0,46.3,17.6,17,79.0,6,12,20.0,6,0.45,14.0,47.0,-33.0,-1.88,-0.36,la_liga,2024-2025
685,Wojciech Szczęsny,pl POL,GK,Barcelona,34.0,1990.0,15,1350.0,90.0,39.5,15.0,15,90.0,15,0,,14,2.87,43.0,12.0,31.0,2.07,0.68,la_liga,2024-2025
686,Alexander Sørloth,no NOR,FW,Atlético Madrid,28.0,1995.0,35,1566.0,45.0,45.8,17.4,15,68.0,2,20,27.0,2,2.06,40.0,13.0,27.0,1.55,1.02,la_liga,2024-2025
687,Renato Tapia,pe PER,"MF,DF",Leganés,29.0,1995.0,34,2424.0,71.0,70.9,26.9,28,81.0,16,6,26.0,0,1.03,32.0,47.0,-15.0,-0.56,-0.38,la_liga,2024-2025
688,César Tárrega,es ESP,DF,Valencia,22.0,2002.0,34,3026.0,89.0,88.5,33.6,34,89.0,33,0,,3,1.24,37.0,45.0,-8.0,-0.24,0.22,la_liga,2024-2025
689,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,24.0,2000.0,32,2689.0,84.0,78.6,29.9,31,86.0,27,1,10.0,0,2.06,56.0,31.0,25.0,0.84,-1.01,la_liga,2024-2025
690,Álvaro Tejero,es ESP,"MF,DF",Espanyol,28.0,1996.0,28,1238.0,44.0,36.2,13.8,13,75.0,4,15,18.0,9,0.96,16.0,26.0,-10.0,-0.73,-0.69,la_liga,2024-2025
691,Martín Tejón,es ESP,MF,Valencia,20.0,2004.0,4,49.0,12.0,1.4,0.5,0,,0,4,12.0,7,0.0,0.0,1.0,-1.0,-1.84,-1.6,la_liga,2024-2025
692,Nahuel Tenaglia,ar ARG,DF,Alavés,28.0,1996.0,34,2922.0,86.0,85.4,32.5,33,88.0,30,1,19.0,1,1.03,30.0,40.0,-10.0,-0.31,-0.31,la_liga,2024-2025
693,Marc-André ter Stegen,de GER,GK,Barcelona,32.0,1992.0,8,674.0,84.0,19.7,7.5,8,84.0,7,0,,3,2.63,23.0,9.0,14.0,1.87,0.26,la_liga,2024-2025
694,Ramón Terrats,es ESP,FW,Villarreal,23.0,2000.0,11,131.0,12.0,3.8,1.5,1,45.0,0,10,9.0,5,1.73,2.0,4.0,-2.0,-1.37,-1.98,la_liga,2024-2025
