Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,league,season
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,0,0,0,8,5,1,1,1,4,,,0,bundesliga,2024-2025
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,1,0,0,28,18,5,28,1,16,,,0,bundesliga,2024-2025
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,2,0,0,15,22,0,93,16,42,,,0,bundesliga,2024-2025
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,0,0,0,2,2,3,19,1,3,,,0,bundesliga,2024-2025
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,1,0,0,2,2,6,17,1,1,,,0,bundesliga,2024-2025
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,0,0,0,6,7,0,3,1,5,,,0,bundesliga,2024-2025
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,4,0,0,11,36,6,86,4,10,,,0,bundesliga,2024-2025
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,0,0,0,23,24,11,27,1,7,,,0,bundesliga,2024-2025
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,4,0,0,12,2,8,20,2,4,,,0,bundesliga,2024-2025
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,1,0,0,8,7,0,50,14,15,,,0,bundesliga,2024-2025
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,6,0,0,37,11,15,134,27,37,,,0,bundesliga,2024-2025
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,0,0,0,1,1,0,1,0,0,,,0,bundesliga,2024-2025
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,4,1,0,25,19,0,10,20,27,,,0,bundesliga,2024-2025
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,1,0,0,2,3,0,0,0,3,,,0,bundesliga,2024-2025
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,11,1,1,35,28,5,2,35,25,,,0,bundesliga,2024-2025
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,12.6,2,1,0,8,2,0,4,13,19,,,0,bundesliga,2024-2025
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,11.3,2,0,0,5,7,1,72,10,10,,,0,bundesliga,2024-2025
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,0,0,0,0,2,0,1,2,0,,,0,bundesliga,2024-2025
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,1,0,0,12,2,0,4,9,5,,,0,bundesliga,2024-2025
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,8,0,0,38,19,1,8,38,35,,,0,bundesliga,2024-2025
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,0,0,0,7,0,0,0,9,4,,,0,bundesliga,2024-2025
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,1,0,0,4,5,1,1,1,5,,,0,bundesliga,2024-2025
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,4,0,0,26,42,3,21,15,26,,,0,bundesliga,2024-2025
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,4,0,0,26,22,0,17,18,24,,,0,bundesliga,2024-2025
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,0,0,0,9,12,8,47,8,11,,,0,bundesliga,2024-2025
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,2,0,0,8,11,4,21,0,5,,,0,bundesliga,2024-2025
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,0,0,0,19,4,0,22,29,24,,,0,bundesliga,2024-2025
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,5,0,0,12,7,0,53,10,16,,,0,bundesliga,2024-2025
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,5,1,1,11,6,1,15,4,0,,,0,bundesliga,2024-2025
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,0,0,0,0,1,0,0,0,0,,,0,bundesliga,2024-2025
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,0,0,0,1,1,0,0,0,0,,,0,bundesliga,2024-2025
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4.0,2,0,0,10,2,0,4,2,4,,,0,bundesliga,2024-2025
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,0,1,0,4,5,0,0,9,6,,,0,bundesliga,2024-2025
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,0,0,0,9,16,0,10,12,14,,,0,bundesliga,2024-2025
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,0,0,0,4,2,0,19,0,2,,,0,bundesliga,2024-2025
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,0,0,0,8,26,3,19,13,16,,,0,bundesliga,2024-2025
96,Olivier Deman,be BEL,"DF,FW",Werder Bremen,24,2000,0.7,1,0,0,1,2,0,6,4,3,,,0,bundesliga,2024-2025
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,2,0,0,24,27,18,3,1,7,,,0,bundesliga,2024-2025
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,0,0,0,2,0,0,10,0,0,,,0,bundesliga,2024-2025
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,1,0,0,16,4,1,2,14,12,,,0,bundesliga,2024-2025
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,0,0,0,10,4,1,8,7,2,,,0,bundesliga,2024-2025
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,1,0,0,9,6,1,16,7,14,,,0,bundesliga,2024-2025
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,2,0,0,27,56,8,80,14,43,,,0,bundesliga,2024-2025
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34.0,4,0,0,36,14,2,10,44,23,,,0,bundesliga,2024-2025
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,0,0,0,0,2,0,1,0,0,,,0,bundesliga,2024-2025
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,5,1,0,15,20,0,36,16,18,,,0,bundesliga,2024-2025
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,2,0,0,1,3,0,0,0,0,,,0,bundesliga,2024-2025
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4.0,2,0,0,8,2,0,1,0,8,,,0,bundesliga,2024-2025
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,3,0,0,6,17,14,169,7,6,,,0,bundesliga,2024-2025
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,3,0,0,10,7,2,13,0,0,,,0,bundesliga,2024-2025
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,2,1,0,5,3,0,3,3,10,,,0,bundesliga,2024-2025
111,Johannes Eggestein,de GER,FW,St Pauli,26,1998,20.6,3,0,0,12,12,14,35,0,4,,,0,bundesliga,2024-2025
112,Maximilian Eggestein,de GER,MF,Freiburg,27,1996,31.6,4,0,0,22,24,1,9,39,31,,,0,bundesliga,2024-2025
113,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,22,2002,28.5,1,0,0,39,17,19,17,5,12,,,0,bundesliga,2024-2025
114,Elif Elmas,mk MKD,"FW,MF",RB Leipzig,24,1999,0.5,1,0,0,2,0,1,0,0,1,,,0,bundesliga,2024-2025
115,Nico Elvedi,ch SUI,DF,Gladbach,27,1996,23.7,1,0,0,9,15,1,1,27,24,,,1,bundesliga,2024-2025
116,Arne Engels,be BEL,FW,Augsburg,20,2003,0.9,1,0,0,3,1,0,4,0,0,,,0,bundesliga,2024-2025
117,Patrick Erras,de GER,DF,Holstein Kiel,29,1995,9.2,2,0,0,10,0,0,0,9,6,,,0,bundesliga,2024-2025
118,Samuel Essende,cd COD,FW,Augsburg,26,1998,18.2,4,2,0,45,34,13,5,1,6,,,0,bundesliga,2024-2025
119,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,0,0,0,0,0,0,0,0,0,,,0,bundesliga,2024-2025
120,Kilian Fischer,de GER,DF,Wolfsburg,23,2000,25.5,7,0,0,34,7,0,39,19,46,,,0,bundesliga,2024-2025
121,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,28,1996,20.4,3,0,0,13,4,1,58,15,24,,,0,bundesliga,2024-2025
122,Marco Friedl,at AUT,DF,Werder Bremen,26,1998,24.0,10,2,1,26,16,3,2,36,41,,,2,bundesliga,2024-2025
123,Marvin Friedrich,de GER,DF,Gladbach,28,1995,11.0,0,0,0,5,4,0,0,6,9,,,0,bundesliga,2024-2025
124,Jeremie Frimpong,nl NED,MF,Leverkusen,23,2000,25.7,4,0,0,20,31,9,113,8,24,,,0,bundesliga,2024-2025
125,Chris Führich,de GER,MF,Stuttgart,26,1998,22.0,1,0,0,9,6,1,83,7,11,,,0,bundesliga,2024-2025
126,Shiō Fukuda,jp JPN,FW,Gladbach,20,2004,0.7,0,0,0,2,0,1,1,0,0,,,0,bundesliga,2024-2025
127,Cristian Gamboa,cr CRC,MF,Bochum,34,1989,2.5,1,0,0,1,3,0,6,2,3,,,0,bundesliga,2024-2025
