Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,league,season
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,8,51,18,35.3,4.55,1.61,0.16,0.44,0,1,bundesliga,2024-2025
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,2,8,3,37.5,0.91,0.34,0.25,0.67,0,0,bundesliga,2024-2025
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,2,21,4,19.0,1.15,0.22,0.1,0.5,0,0,bundesliga,2024-2025
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,5,45,15,33.3,1.76,0.59,0.11,0.33,0,0,bundesliga,2024-2025
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,0,1,0,0.0,0.75,0.0,0.0,,0,0,bundesliga,2024-2025
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,2,11,3,27.3,2.83,0.77,0.09,0.33,1,1,bundesliga,2024-2025
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,1,38,12,31.6,2.46,0.78,0.03,0.08,0,0,bundesliga,2024-2025
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,3,13,5,38.5,0.6,0.23,0.23,0.6,0,0,bundesliga,2024-2025
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,2,14,7,50.0,3.15,1.58,0.14,0.29,0,0,bundesliga,2024-2025
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,1,6,3,50.0,1.3,0.65,0.17,0.33,0,0,bundesliga,2024-2025
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,2,7,4,57.1,2.45,1.4,0.29,0.5,0,0,bundesliga,2024-2025
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,7,38,16,42.1,1.98,0.83,0.18,0.44,0,0,bundesliga,2024-2025
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,18,72,30,41.7,3.07,1.28,0.22,0.53,2,2,bundesliga,2024-2025
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,5,35,13,37.1,3.47,1.29,0.14,0.38,0,0,bundesliga,2024-2025
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,0,13,3,23.1,0.84,0.19,0.0,0.0,0,0,bundesliga,2024-2025
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,1,32,12,37.5,1.07,0.4,0.03,0.08,0,0,bundesliga,2024-2025
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,3,9,3,33.3,0.38,0.13,0.11,0.33,2,2,bundesliga,2024-2025
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,3,19,4,21.1,0.75,0.16,0.16,0.75,0,0,bundesliga,2024-2025
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,12.6,0,5,3,60.0,0.4,0.24,0.0,0.0,0,0,bundesliga,2024-2025
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,11.3,1,25,6,24.0,2.22,0.53,0.04,0.17,0,0,bundesliga,2024-2025
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,0,5,0,0.0,0.61,0.0,0.0,,0,0,bundesliga,2024-2025
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,1,11,2,18.2,0.45,0.08,0.09,0.5,0,0,bundesliga,2024-2025
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,1,4,1,25.0,0.95,0.24,0.25,1.0,0,0,bundesliga,2024-2025
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,1,8,2,25.0,2.85,0.71,0.13,0.5,0,0,bundesliga,2024-2025
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0,bundesliga,2024-2025
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,1,5,2,40.0,0.3,0.12,0.2,0.5,0,0,bundesliga,2024-2025
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,0,0,bundesliga,2024-2025
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,1,13,5,38.5,1.31,0.5,0.08,0.2,0,0,bundesliga,2024-2025
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,0,5,1,20.0,0.22,0.04,0.0,0.0,0,0,bundesliga,2024-2025
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,0,6,2,33.3,0.6,0.2,0.0,0.0,0,0,bundesliga,2024-2025
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,2,24,9,37.5,2.6,0.97,0.08,0.22,0,0,bundesliga,2024-2025
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4.0,1,7,2,28.6,1.73,0.49,0.14,0.5,0,0,bundesliga,2024-2025
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0,bundesliga,2024-2025
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,1,11,1,9.1,0.76,0.07,0.09,1.0,0,0,bundesliga,2024-2025
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,1,9,6,66.7,1.97,1.31,0.11,0.17,0,1,bundesliga,2024-2025
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,0,0,bundesliga,2024-2025
96,Olivier Deman,be BEL,"DF,FW",Werder Bremen,24,2000,0.7,0,0,0,,0.0,0.0,,,0,0,bundesliga,2024-2025
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,15,65,30,46.2,3.15,1.46,0.23,0.5,0,2,bundesliga,2024-2025
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1.0,0,0,bundesliga,2024-2025
